,Unnamed: 0,ADDRESS,zipcode,price,bedrooms,bathrooms,sqft_living,yr_built,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),lat,long,year,predict,predicton_diff
272,272,1601 N 45th St #311,98103,494950,1,1.0,781.0,2018.0,http://www.redfin.com/WA/Seattle/1601-N-45th-St-98103/unit-311/home/170148037,47.6612464,-122.338408,2019,655027.3936861141,-160077.3936861141
72,72,18230 SE Auburn Black Diamond Rd,98092,489500,4,2.5,2755.0,2000.0,http://www.redfin.com/WA/Auburn/18230-SE-Auburn-Black-Diamond-Rd-98092/home/2069665,47.3130795,-122.098858,2019,650111.3097432964,-160611.30974329636
112,112,12086 159th Ave NE,98052,1688990,5,4.75,4069.0,2020.0,http://www.redfin.com/WA/Redmond/12086-159th-Ave-NE-98052/home/170194363,47.7044524,-122.126836,2019,1854240.0958539539,-165250.09585395386
312,312,1085 103rd NE #317,98004,658000,1,1.0,675.0,2018.0,http://www.redfin.com/WA/Bellevue/1085-103rd-Ave-NE-98004/unit-317/home/170127497,47.6199797,-122.2034187,2019,823954.125110774,-165954.12511077395
85,85,1000 Union #316,98101,365000,1,0.75,600.0,1965.0,http://www.redfin.com/WA/Seattle/1000-Union-St-98101/unit-316/home/47271,47.6123581,-122.3289935,2019,532187.4592815245,-167187.45928152453
6,6,4111 Whitman Ave N #205,98103,425000,2,1.0,695.0,1947.0,http://www.redfin.com/WA/Seattle/4111-Whitman-Ave-N-98103/unit-205/home/2066243,47.6570599,-122.3463338,2019,595914.9290929881,-170914.92909298814
296,296,12308 87th Ct NE,98034,1050000,4,2.75,3090.0,1969.0,http://www.redfin.com/WA/Kirkland/12308-87th-Ct-NE-98034/home/282430,47.7107444,-122.2246392,2019,1226107.5266471952,-176107.52664719522
96,96,19234 127th Ave,98011,299500,2,2.0,1152.0,1973.0,http://www.redfin.com/WA/Bothell/19234-127th-Ave-NE-98011/home/17080194,47.7664983,-122.1716498,2019,478908.9705195444,-179408.97051954438
216,216,320 Melrose Ave E #303,98102,385000,1,1.0,640.0,1966.0,http://www.redfin.com/WA/Seattle/320-Melrose-Ave-E-98102/unit-303/home/27836,47.6213326,-122.3276027,2019,566486.0603700231,-181486.06037002313
0,0,14836 SE 16th St #15,98007,530000,3,2.5,1430.0,1969.0,http://www.redfin.com/WA/Bellevue/14836-SE-16th-St-98007/unit-15/home/55002,47.5968236,-122.1410473,2019,711722.780852674,-181722.78085267404
