,ADDRESS,zipcode,price,bedrooms,bathrooms,sqft_living,yr_built,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),lat,long
69,23294 NE 15th St,98074,1000000,4,2.5,2744.0,1996.0,http://www.redfin.com/WA/Sammamish/23294-NE-15th-St-98074/home/265611,47.6231989,-122.02650630000001
70,22631 SE 271st St,98038,575000,4,3.0,3000.0,2005.0,http://www.redfin.com/WA/Maple-Valley/22631-SE-271st-St-98038/home/2089882,47.358684999999994,-122.039432
71,26611 SE 9th Way,98075,1550000,5,4.0,4006.0,2020.0,http://www.redfin.com/WA/Sammamish/26611-SE-9th-Way-98075/home/101611052,47.6003455,-121.98830090000001
72,18230 SE Auburn Black Diamond Rd,98092,489500,4,2.5,2755.0,2000.0,http://www.redfin.com/WA/Auburn/18230-SE-Auburn-Black-Diamond-Rd-98092/home/2069665,47.3130795,-122.098858
73,24706 117th Pl SE,98030,550000,3,2.5,2590.0,2006.0,http://www.redfin.com/WA/Kent/24706-117th-Pl-SE-98030/home/2088473,47.380432,-122.18455049999999
74,712 23rd Ave,98122,1194500,3,3.5,2892.0,2013.0,http://www.redfin.com/WA/Seattle/712-23rd-Ave-98122/home/22677122,47.6084803,-122.30240570000001
75,750 11th Ave E #308,98102,395000,1,1.0,492.0,2018.0,http://www.redfin.com/WA/Seattle/750-11th-Ave-E-98102/unit-308/home/164431711,47.6266216,-122.3176642
76,4241 28th Ave W,98199,799950,3,2.0,1600.0,1947.0,http://www.redfin.com/WA/Seattle/4241-28th-Ave-W-98199/home/123725,47.6589348,-122.39306140000001
77,17108 SE 329th St,98092,615000,3,3.75,3186.0,1987.0,http://www.redfin.com/WA/Auburn/17108-SE-329th-St-98092/home/379583,47.306796000000006,-122.1141308
78,8216 SW Quartermaster Dr,98070,699000,3,1.0,2280.0,1910.0,http://www.redfin.com/WA/Vashon/8216-SW-Quartermaster-Dr-98070/home/524135,47.4066409,-122.43802649999999
79,24104 141st Ln SE #9,98042,699950,5,3.0,3037.0,2019.0,http://www.redfin.com/WA/Kent/24104-141st-Ln-SE-98042/unit-9/home/166820860,47.385858,-122.15286599999999
80,24014 141st Pl #12,98042,699950,4,2.5,3215.0,2019.0,http://www.redfin.com/WA/Kent/24014-141st-Pl-SE-98042/unit-12/home/166838370,47.38507620000001,-122.1524351
81,8343 Martin Luther King Jr Way S,98118,670000,5,2.75,1630.0,1976.0,http://www.redfin.com/WA/Seattle/8343-Martin-Luther-King-Jr-Way-S-98118/home/480487,47.52800870000001,-122.2806644
